"","district.ID","numb.ini","district.name","males","females","total","males.per","females.per","gender.ratio","young","medium","old","young.per","medium.per","abitur.per","nodegree.per","unemployment","GDP.cap","pop.dens","refugees","east","refugee.ratio"
"104",5770,1,"Minden-Lübbecke, Landkreis",151501,157715,309216,0.489952007658077,0.510047992341923,0.960599816124021,95528,136049,85485,0.308936148194143,0.439980466728759,46.4,3.8,5.9,34510,268.4,1038,0,0.00335687674635206
"105",5774,2,"Paderborn, Landkreis",148994,150077,299071,0.498189393154134,0.501810606845866,0.992783704365093,103209,137135,68687,0.345098655503208,0.458536601676525,40.3,2.9,6.3,30755,238,891,0,0.00297922566882112
"106",5911,5,"Bochum, kreisfreie Stadt",174830,187046,361876,0.483121290165692,0.516878709834308,0.934689862386793,109198,163620,102581,0.301755297394688,0.452143828272668,46.2,4,10.1,29511,2483.4,1245,0,0.00344040500060794
"107",5913,4,"Dortmund, kreisfreie Stadt",284017,296494,580511,0.4892534336128,0.5107465663872,0.957918204078329,183653,263716,153276,0.316364375524323,0.454282520055606,43.8,6.3,12.8,33017,2051.7,1616,0,0.00278375431301043
"108",5914,1,"Hagen, kreisfreie Stadt",90494,96222,186716,0.484661196683734,0.515338803316266,0.94047099415934,55757,82601,53940,0.298619293472439,0.442388440197948,45.3,3.7,10.4,32684,1159.9,421,0,0.00225476124167184
"109",5915,1,"Hamm, kreisfreie Stadt",85993,90587,176580,0.486991731792955,0.513008268207045,0.949286321436851,56223,78038,47401,0.318399592252803,0.441941329708914,35.8,5.5,9.8,26077,777.5,493,0,0.0027919356665534
"110",5916,1,"Herne, kreisfreie Stadt",75026,79582,154608,0.485265962951464,0.514734037048536,0.942750873313061,45895,69270,44052,0.296847511124909,0.448036324122943,43.3,5.9,13.4,21066,3003.1,447,0,0.00289118286246507
"111",5954,1,"Ennepe-Ruhr-Kreis",155918,166998,322916,0.482843835548564,0.517156164451436,0.933651900022755,89563,144964,96814,0.277356959704691,0.448921700999641,47.8,4.3,7.4,27191,790.2,1075,0,0.0033290391309195
"112",5958,0,"Hochsauerlandkreis",129678,131883,261561,0.495784922064069,0.504215077935931,0.983280635108392,78614,116681,72775,0.300557040231533,0.446094792419359,42.5,3.8,5.2,31258,133.7,929,0,0.00355175274601336
"113",5962,6,"Märkischer Kreis",202565,211255,413820,0.489500265816055,0.510499734183945,0.958864878937777,124339,185520,114788,0.300466386351554,0.448310859794113,41.4,6.3,6.9,31558,392.3,1776,0,0.00429172103813252
"114",5966,0,"Olpe, Landkreis",67297,67462,134759,0.499387795991362,0.500612204008638,0.997554178648721,42143,62080,34143,0.312728648921408,0.460674240681513,44.6,5.5,4.5,34097,189.5,293,0,0.0021742518124949
